"Time [ns]","V(VAM_SI) [mV]","V(SI) [mV]"
0,1.27159714360539E-12,0
0.000198988724224471,-0.0965644034931407,-0.0965645380879601
0.000397977448448942,-0.193281499082236,-0.193281768718905
0.000795954896897884,-0.38708313784225,-0.387083678658236
0.00149578883233614,-0.729139345114713,-0.729140366673104
0.00242521341415154,-1.18579319246883,-1.18579516384197
0.00363017352315713,-1.78130803690931,-1.78131465694706
0.00532796493122024,-2.62541776073811,-2.62543270163208
0.00743464638916713,-3.677541141855,-3.67756738804971
0.00954132784711401,-4.73059955691819,-4.73063406112147
0.0116480093050609,-5.78008038755815,-5.78012059246649
0.0137546907630078,-6.82151425471849,-6.82155671486662
0.0163767950274207,-8.09969805164216,-8.09974010373797
0.0189988992918336,-9.35025302535618,-9.35029419171791
0.0216210035562465,-10.5654146561465,-10.5654535829239
0.0242431078206593,-11.7376926321034,-11.7377266077532
0.0268652120850722,-12.8599170803362,-12.8599449783314
0.0294873163494851,-13.9252868547994,-13.925311265052
0.032109420613898,-14.9274042187237,-14.9274286242045
0.0347315248783109,-15.8602945541933,-15.8603207899522
0.0373536291427238,-16.7184191291569,-16.7184479305063
0.0399757334071367,-17.4966895117742,-17.496720362347
0.0425978376715496,-18.1904783700221,-18.1905105471432
0.0452199419359625,-18.7956287547188,-18.7956633743632
0.0478420462003754,-19.3084652282311,-19.3085046826249
0.0504641504647882,-19.7258042133022,-19.7258479938391
0.0530862547292011,-20.0449567631218,-20.0449994532437
0.055708358993614,-20.2637272036397,-20.2637609792751
0.0588917533256058,-20.3919871151186,-20.3920019279879
0.0620751476575976,-20.3677857094943,-20.3677800451463
0.0652585419895893,-20.1901765915197,-20.1901580573009
0.0691701042340445,-19.7622169702462,-19.7621982766103
0.0730816664784997,-19.1053722036384,-19.1053646217901
0.0769932287229549,-18.2242619933923,-18.2242680288504
0.0819373229318087,-16.8011520400588,-16.801170197912
0.0868814171406626,-15.050308258174,-15.0503325185651
0.0918255113495165,-12.9951878707915,-12.9952187759831
0.0967696055583704,-10.663906003442,-10.6639511480131
0.101713699767224,-8.0888262743556,-8.08889506811473
0.106657793976078,-5.30601133848907,-5.30610957721255
0.112612614032976,-1.73602064845917,-1.73615539109477
0.118567434089873,2.00335254254234,2.0031853574926
0.124522254146771,5.83613589604585,5.83594578116487
0.130477074203668,9.68375157353097,9.68355059988508
0.136431894260566,13.4666743566362,13.4664695221261
0.142386714317463,17.1061679003336,17.1059578637142
0.148341534374361,20.5258732244015,20.5256546907778
0.154296354431258,23.6532791340775,23.6530543920122
0.160251174488156,26.4210921279779,26.4208680295403
0.16801503642597,29.3872911792414,29.3870733868388
0.175778898363784,31.5237314030496,31.5235172542579
0.183542760301598,32.7441012576972,32.7438876242314
0.191306622239412,32.988236016769,32.9880268379117
0.199070484177226,32.2247995848078,32.2246047676647
0.208506034266176,29.9441454172899,29.9439819263985
0.217941584355126,26.2402868164748,26.2401656991354
0.227377134444075,21.236542118578,21.236471092346
0.236812684533025,15.1132377936028,15.1132226160631
0.246248234621974,8.10107448062252,8.10111706831116
0.257741704134732,-1.23186632811477,-1.23176055414824
0.269235173647489,-10.9190594299864,-10.9189053283125
0.280728643160247,-20.3932647429244,-20.3930759380149
0.292222112673004,-29.089170065251,-29.0889548188978
0.303715582185761,-36.4773667048498,-36.4771310459069
0.315209051698519,-42.0970215609342,-42.0967738963111
0.326702521211276,-45.5835387804301,-45.5832915352535
0.338195990724034,-46.6898763672232,-46.6896451021195
0.349689460236791,-45.3006479806708,-45.3004492930295
0.361182929749548,-41.438423046353,-41.4382714932098
0.372676399262306,-35.2620199850764,-35.2619248399085
0.386472264590226,-25.2211388112299,-25.2211136365348
0.400268129918146,-12.9859057863539,-12.9859440559653
0.414063995246066,0.58643564258845,0.586345507030515
0.427859860573985,14.540151588886,14.5400225164939
0.441655725901905,27.8938643867375,27.8937098133563
0.455451591229825,39.7170683194603,39.7169036904871
0.469247456557745,49.2009607277722,49.2008049931533
0.483043321885665,55.7179317872225,55.717806649247
0.496839187213585,58.8654800100961,58.8654065384662
0.510635052541505,58.4916001304678,58.4915944756115
0.524430917869425,54.7001852763798,54.7002558278892
0.538226783197345,47.8365970258265,47.8367441552635
0.552022648525265,38.4551241570127,38.4553419112135
0.565818513853185,27.2714336348385,27.2717117939064
0.579614379181104,15.104206125024,15.1045313575171
0.593410244509024,2.81086499211095,2.81122094349677
0.607206109836944,-8.77739238212967,-8.777025221323
0.621001975164864,-18.9161787237104,-18.9158222920439
0.637924117273889,-28.4875543275849,-28.4872412511042
0.654846259382913,-34.2485795570153,-34.2483378361391
0.671768401491938,-35.9349822616076,-35.9348305045766
0.688690543600962,-33.720622719366,-33.7205686891926
0.705612685709987,-28.1803129529916,-28.1803543701354
0.722534827819012,-20.2055004721075,-20.2056266623215
0.739456969928036,-10.8861510471765,-10.8863443021013
0.756379112037061,-1.37610473375321,-1.37634161139039
0.773301254146085,7.2407289979,7.24047547899544
0.79022339625511,14.0675786446462,14.0673355493165
0.807145538364134,18.4826807067169,18.4824712289349
0.824067680473159,20.1892865948351,20.1891269051891
0.840989822582184,19.224245326604,19.2241430524967
0.857911964691208,15.9267248677136,15.9266791123628
0.874834106800233,10.8733050190691,10.8733072717666
0.891756248909257,4.78935369668632,4.78938913227905
0.908678391018282,-1.55110719941182,-1.55105804361876
0.925600533127306,-7.4241386253619,-7.42409756443116
0.942522675236331,-12.2412142246107,-12.2412025498507
0.959444817345356,-15.611444253917,-15.6114797427364
0.976366959454381,-17.3743694494078,-17.3744639510876
0.993289101563405,-17.6009776291013,-17.6011357000235
1.01021124367243,-16.5646617051995,-16.5648803366147
1.02713338578145,-14.687492462457,-14.6877616514761
1.04405552789048,-12.4699959859015,-12.4702998994631
1.0609776699995,-10.4142983954082,-10.4146170301985
1.07789981210853,-8.95087669893264,-8.95118800632675
1.09482195421755,-8.37824567574638,-8.37852800158105
1.11174409632658,-8.8228842505513,-8.82311874942243
1.1286662384356,-10.2238573172418,-10.2240299264835
1.14558838054463,-12.3433043944464,-12.3434070694382
1.16251052265365,-14.8006658540743,-14.8006969841951
1.17943266476268,-17.1256060263872,-17.1255701198097
1.1963548068717,-18.8224112725192,-18.8223180465179
1.21327694898073,-19.4374283533066,-19.437291343555
1.23019909108975,-18.6209750730813,-18.6208098756475
1.24712123319878,-16.1760768048689,-16.1758991276451
1.2640433753078,-12.0882077596681,-12.0880315392684
1.28096551741683,-6.53268990882095,-6.53252576824143
1.29788765952585,0.140798036123573,0.140943784880616
1.31480980163488,7.44437423837462,7.44449996476659
1.3317319437439,14.8041255497529,14.8042340740846
1.34865408585293,21.621871200021,21.6219690454934
1.36557622796195,27.3391353251429,27.339231559115
1.3859018149896,32.1079882822037,32.1080959758497
1.40622740201725,34.137115692395,34.1372481516982
1.4265529890449,33.2981666860373,33.2983333054163
1.44687857607255,29.821273997776,29.8214783002075
1.46720416310021,24.2554206973364,24.255659376119
1.48752975012786,17.3800663181684,17.3803295035672
1.50785533715551,10.084899950395,10.0851725584417
1.52818092418316,3.23913515415729,3.23939902224524
1.54850651121081,-2.42832673266296,-2.42809027516457
1.56883209823846,-6.4198388079366,-6.41964634586873
1.58915768526611,-8.5188358888427,-8.51869973438924
1.60948327229376,-8.79367831436608,-8.79360508234618
1.62980885932141,-7.55831582383107,-7.5583059663107
1.65013444634906,-5.29930752814921,-5.29935583866008
1.67046003337672,-2.58347476949744,-2.58357170227566
1.69078562040437,0.037452411726582,0.0373188791121564
1.71111120743202,2.10959105359469,2.10943335021846
1.73143679445967,3.33475335107358,3.33458238605975
1.75176238148732,3.59619769981367,3.59602139357817
1.77208796851497,2.95106352084503,2.95088601821876
1.79241355554262,1.59402770178406,1.59384935950876
1.81273914257027,-0.198699622071631,-0.198881524666954
1.83306472959792,-2.13322700159672,-2.1334170030512
1.85339031662557,-3.95740308611812,-3.95760598998202
1.87371590365323,-5.50523825022568,-5.50545756757151
1.89404149068088,-6.7192152840969,-6.71945194641483
1.91436707770853,-7.64788324456547,-7.64813480566679
1.93469266473618,-8.42083685070548,-8.42109730482376
1.95501825176383,-9.20726087635253,-9.20752110814591
1.97534383879148,-10.1669828265279,-10.1672315986148
1.99566942581913,-11.4040071674811,-11.4042324639876
2.01599501284678,-12.9317003531117,-12.9318908475344
2.03632059987443,-14.65637961792,-14.6565260251992
2.05664618690209,-16.3825201845051,-16.38261628824
2.07697177392974,-17.8387971768321,-17.8388403855159
