"Time [ns]","V(VAM_SI) [mV]","V(SI) [mV]"
0,1.27159714360539E-12,0
0.000174912043999958,-0.0848642739385349,-0.0848643922004166
0.000349824087999915,-0.169847289661207,-0.169847526531152
0.00069964817599983,-0.340100145178929,-0.340100620115629
0.00137049422103543,-0.667731743730698,-0.667732678691248
0.00228471619406145,-1.11655218239261,-1.11655386778483
0.00348948409840967,-1.71155732573596,-1.71156327470364
0.00519999745500375,-2.56159646403502,-2.56161074273191
0.00731083233505429,-3.61559266193289,-3.61561835115018
0.00942166721510482,-4.6708031892909,-4.67083724493676
0.0115325020951554,-5.72268260587755,-5.72272260118554
0.0136433369752059,-6.76672885941531,-6.76677123638235
0.0162620013054646,-8.044255392074,-8.04429754187694
0.0188806656357232,-9.29457935734351,-9.29462060280392
0.0214993299659819,-10.509950281847,-10.509989421477
0.0241179942962406,-11.6828906815126,-11.6829249806022
0.0267366586264993,-12.8062412393893,-12.8062693811188
0.029355322956758,-13.8732084063897,-13.8732328419095
0.0319739872870167,-14.8773988981182,-14.8774232169883
0.0345926516172753,-15.8128397833809,-15.8128659165561
0.037211315947534,-16.6739910395623,-16.6740197445601
0.0398299802777927,-17.4557598316005,-17.45579061542
0.0424486446080514,-18.1535114809713,-18.1535435676264
0.0450673089383101,-18.7630787191115,-18.763113076772
0.0476859732685687,-19.2807725409561,-19.2808116214091
0.0503046375988274,-19.7033928596302,-19.7034364758359
0.0529233019290861,-20.028231711244,-20.0282747226871
0.0555419662593448,-20.2530718923982,-20.2531064889167
0.0587175320128712,-20.3891105027612,-20.3891264939266
0.0618930977663975,-20.3735175066391,-20.3735128759424
0.0650686635199239,-20.2052945468419,-20.2052764308945
0.0689693052966928,-19.790014014428,-19.7899949619197
0.0728699470734617,-19.1469414362157,-19.1469331208733
0.0767705888502306,-18.2805408386431,-18.2805461529742
0.0816991904651547,-16.8776144741935,-16.8776322125642
0.0866277920800787,-15.1479751846592,-15.1479991961437
0.0915563936950027,-13.114626157401,-13.114656552536
0.0964849953099268,-10.8051908729599,-10.8052349169995
0.101413596924851,-8.25151364941526,-8.25158078551365
0.106342198539775,-5.48912193337084,-5.48921822740225
0.112300608752754,-1.92801248518879,-1.92814537039435
0.118259018965734,1.8066036663898,1.80643798031841
0.124217429178714,5.63878545768587,5.63859621883759
0.130175839391693,9.48989548633194,9.48969480692207
0.136134249604673,13.2802625514472,13.2800578619829
0.142092659817653,16.9309270366843,16.9307173467379
0.148051070030632,20.365237842798,20.3650197365259
0.154009480243612,23.510330810195,23.5101062311171
0.159967890456591,26.2985075174375,26.298283236473
0.167694910331243,29.2806526299405,29.2804345547663
0.175421930205895,31.4450773543271,31.4448631332303
0.183148950080546,32.7054909382957,32.7052772533897
0.190875969955198,33.0011780777886,33.0009684249044
0.198602989829849,32.2996521926712,32.2994562002094
0.208028677559291,30.0947106390942,30.094545261416
0.217454365288732,26.4648691094117,26.4647455923996
0.226880053018174,21.5300025548187,21.5299287211693
0.236305740747615,15.4670492613587,15.4670309828198
0.245731428477057,8.50355493686638,8.50359442297831
0.257214135012955,-0.790943134065896,-0.790839962436737
0.268696841548853,-10.4649716439511,-10.4648194517361
0.280179548084752,-19.9534294586602,-19.953242072649
0.29166225462065,-28.6915604011905,-28.6913463024226
0.303144961156548,-36.1488189923974,-36.1485841809074
0.314627667692446,-41.8615501346755,-41.8613028112958
0.326110374228344,-45.4607754349199,-45.4605278063574
0.337593080764243,-46.6937382745183,-46.6935057562763
0.349075787300141,-45.4383211359029,-45.4381203101904
0.360558493836039,-41.7097286037084,-41.7095741968844
0.372041200371937,-35.6592078083462,-35.659109427464
0.385841126236589,-25.7350866885415,-25.7350583909093
0.39964105210124,-13.5792571335435,-13.5792927468048
0.413440977965891,-0.0436062859675758,-0.0436943583876071
0.427240903830542,13.918166733191,13.9180391234902
0.441040829695193,27.3232624491051,27.3231087068172
0.454840755559845,39.2364833431705,39.2363187925652
0.468640681424496,48.8415278349492,48.8413712703462
0.482440607289147,55.5011572166247,55.5010302790698
0.496240533153798,58.8019337976803,58.8018576850959
0.51004045901845,58.5805032699013,58.5804944359805
0.523840384883101,54.92988821997,54.9299554261698
0.537640310747752,48.1858752503269,48.1860191924135
0.551440236612403,38.8951545920299,38.895369538425
0.565240162477055,27.7682675853072,27.7685434546435
0.579040088341706,15.6215231574907,15.6218467291548
0.592840014206357,3.31277982003649,3.3131348596203
0.606639940071008,-8.32369155316892,-8.32332443849402
0.62043986593566,-18.5381580402606,-18.5378007281551
0.637404719171354,-28.2464017266075,-28.2460868409531
0.654369572407048,-34.1416551546984,-34.1414110673673
0.671334425642742,-35.9441873067758,-35.9440330337271
0.688299278878437,-33.8170654928123,-33.8170091294625
0.705264132114131,-28.3299021929451,-28.3299416688769
0.722228985349825,-20.3745451352658,-20.3746698789816
0.73919383858552,-11.046107962587,-11.0463002956216
0.756158691821214,-1.50686149936425,-1.50709795086275
0.773123545056908,7.14934883207005,7.14909533336972
0.790088398292603,14.0160962066757,14.0158528697135
0.807053251528297,18.4637635326076,18.4635537188072
0.824018104763991,20.1905994647494,20.1904394898186
0.840982957999685,19.231760815107,19.2316583918212
0.85794781123538,15.9278872464067,15.9278414903858
0.874912664471074,10.8595199065638,10.8595222564795
0.891877517706768,4.75743176130022,4.75746730006368
0.908842370942463,-1.59872005953064,-1.59867090413346
0.925807224178157,-7.48029436392505,-7.48025351108101
0.942772077413851,-12.2959118511809,-12.2959006680159
0.957260159081231,-15.2623434117472,-15.2623719710575
0.97174824074861,-17.0431916882607,-17.0432695186275
