"Time [ns]","V(AM_SI) [mV]","V(SI) [mV]"
0,1.27159714360539E-12,0
0.000157635511662479,-0.0764714025893834,-0.0764715091393771
0.000315271023324959,-0.153039694150291,-0.153039907531838
0.000630542046649918,-0.30636574543785,-0.306366173042119
0.00106882453238954,-0.520126847580998,-0.520127574825814
0.00150710701812916,-0.73456033105681,-0.734561360020867
0.00240704631856642,-1.1767608632183,-1.17676259803654
0.00425492016893208,-2.0912351222624,-2.09124479393933
0.00610279401929775,-3.01202131405578,-3.01204029523969
0.00892440095474435,-4.42241307188108,-4.42244546363225
0.011746007890191,-5.8288856919284,-5.82892652818178
0.0145676148256376,-7.22057299681847,-7.22061632721107
0.0173892217610842,-8.5869719924446,-8.58701340928628
0.0208893507393707,-10.2311893700481,-10.2312285460848
0.0243894797176572,-11.8027237472993,-11.8027579276548
0.0278896086959437,-13.2843907410168,-13.2844178876651
0.0313897376742302,-14.6602243969367,-14.6602481722247
0.0348898666525167,-15.9155657537138,-15.9155907279833
0.0383899956308032,-17.0371304289903,-17.0371589600204
0.0418901246090897,-18.0130640545239,-18.0130972193476
0.0453902535873762,-18.8329927718839,-18.8330303376502
0.0488903825656627,-19.4880621537501,-19.4881030850102
0.0523905115439492,-19.970968998918,-19.9710094844898
0.0567909030892361,-20.3249867327981,-20.3250139695329
0.0611912946345231,-20.3903222054612,-20.3903252049774
0.0674694683574549,-19.9773672569159,-19.9773478326613
0.0737476420803867,-18.9728531010959,-18.9728425522122
0.0824255746481389,-16.6506959522398,-16.6507140204097
0.091103507215891,-13.3294077748783,-13.3294443796611
0.09860145589262,-9.75680473331905,-9.75686018476131
0.109066677720584,-3.92879539698109,-3.92890161039791
0.116526475740213,0.665036038646514,0.664885842495913
0.124075837906339,5.50732960972171,5.50714345797593
0.134571919808647,12.2448827565614,12.2446716343257
0.142388481444875,17.0606289026503,17.0604135431204
0.153814720107388,23.3552115246725,23.3549939794164
0.161937628239185,27.083535878927,27.0833154594684
0.174919310556237,31.2882975513479,31.2880781789322
0.183268505443761,32.6958528707973,32.695640007069
0.197651379203547,32.4470669306853,32.4468739504583
0.206889058442422,30.4666941830251,30.4665239930741
0.222802493943213,23.9000954892994,23.8999955903469
0.232802493943213,17.9310701497816,17.9310295918654
0.250029153463736,5.27768419382545,5.27774519320584
0.260029153463736,-3.00561954358342,-3.00550673506891
0.272705749114712,-13.7220372256438,-13.7218718387272
0.28214253694231,-21.4655753284034,-21.465381059905
0.298398970029656,-33.2146925828072,-33.2144645176308
0.308022058989932,-38.8173905827449,-38.8171499104112
0.324599426695372,-45.1230385318727,-45.1227916822254
0.334599426695372,-46.6243921105966,-46.6241549146518
0.350182943121604,-45.181605422824,-45.1814088884812
0.365766459547836,-39.2097818001567,-39.2096521246251
0.381349975974068,-29.1778462065546,-29.1777951100375
0.396933492400301,-15.9614998132357,-15.9615234120308
0.406933492400301,-6.3022851962791,-6.30235002334867
0.419858376321698,6.78966375940084,6.78955557737304
0.429858376321698,16.9469815720981,16.9468473182672
0.442316701019364,28.959590070619,28.959433170661
0.454775025717029,39.6394004852404,39.6392343285189
0.467233350414695,48.3817136576013,48.3815548974932
0.47969167511236,54.7067875871985,54.7066550747903
0.494884304276403,58.6873336238587,58.6872571081935
0.514332526105587,57.5503517180521,57.5503724776075
0.53378074793477,49.8435348883177,49.8436622613376
0.54378074793477,43.6431869444641,43.6433671681818
0.561007407455293,30.4767472428523,30.4770083470614
0.571007407455293,21.8024890822445,21.8027898011803
0.588234066975817,6.41462454543511,6.41497442037419
0.598234066975816,-2.33157861625885,-2.33121369958877
0.61546072649634,-15.844478876095,-15.8441162173947
0.62546072649634,-22.4375203760088,-22.4371757966678
0.642687386016863,-30.8417603028804,-30.8414722927471
0.652687386016863,-33.843786840471,-33.8435440159185
0.669914045537387,-35.6033452222506,-35.6031928957683
0.68714070505791,-33.2758114054599,-33.2757575945454
0.704367364578433,-27.4926403946877,-27.4926838131519
0.721594024098957,-19.23284676882,-19.2329770581498
0.731594024098957,-13.7274109844889,-13.7275837526592
0.74882068361948,-4.00664017497073,-4.00686535886815
0.75882068361948,1.44484087542557,1.44459866898565
0.776047343140003,9.65541695563023,9.65516899675035
0.786047343140003,13.4995050447287,13.4992664690933
0.803274002660527,18.0496003921838,18.0493951701837
0.82050066218105,19.7817365156698,19.7815808045798
0.842474887019882,18.0494774201619,18.0493952432307
0.864449111858715,12.7164959226035,12.7164832125657
0.874449111858715,9.41835477171691,9.41836824228408
0.891675771379238,3.18180761066834,3.18185084054884
0.901675771379238,-0.534594108077245,-0.534543823633294
0.918902430899761,-6.49359637796457,-6.49355272009937
0.936129090420285,-11.4051696015379,-11.4051548150139
0.957041803632389,-15.3583867002167,-15.3584304321105
0.977954516844493,-16.9006114053811,-16.900729837979
0.998867230056597,-16.2895156955417,-16.2897121644487
1.0197799432687,-14.2071210879127,-14.207384730576
1.0297799432687,-12.9229983029319,-12.923286825367
1.04700660278922,-10.7678315279236,-10.7681464088984
1.06423326230975,-9.07345981742231,-9.07377821005226
1.08145992183027,-8.23050594113379,-8.23080508697652
1.10297348126229,-8.67532473348646,-8.67557143134938
1.12448704069431,-10.7038875004507,-10.7040578233117
1.14600060012633,-13.8121412084326,-13.8122228702851
1.16751415955835,-17.1412891664465,-17.1412830675142
1.18902771899037,-19.6673605882916,-19.6672798390656
1.21054127842239,-20.4246981748676,-20.4245642880366
1.23205483785441,-18.7169324938397,-18.7167702640758
1.25356839728643,-14.2731500824041,-14.2729828816219
1.27508195671845,-7.31925492337592,-7.31910082108253
1.29659551615047,1.44781794364547,1.4479491888526
1.30659551615047,5.89539807566807,5.89551775000006
1.32382217567099,13.5503330687065,13.550435877326
1.34104883519152,20.6832014965888,20.6832945132584
1.35827549471204,26.6861520360083,26.6862448366236
1.37550215423256,31.0601875890501,31.0602907346554
1.39631894543242,33.7058334716444,33.7059621739012
1.41713573663229,33.3019767177058,33.3021414657629
