Time [ns],V(AM_SI) [mV],V(SI) [mV],Time [ns],V(AM_SI) [mV],V(SI) [mV]
7.140551821,2.155471937,2.156273228,8.75E-09,-1.77E-01,-0.176051789
7.270909522,8.157668777,8.157940784,8.875E-09,-2.171533868,-2.171208228
7.401267223,-6.498539672,-6.498689684,0.000000009,-5.163989016,-5.164032882
7.531624924,-18.48564681,-18.48600655,9.125E-09,-6.87E+00,-6.867255482
7.661982625,-7.235318259,-7.23582128,9.25E-09,-2.635100726,-2.635400475
7.792340326,13.21544536,13.2152056,9.375E-09,5.846848851,5.846782818
7.922698027,18.92901596,18.92938692,9.5E-09,9.92E+00,9.917564957
8.053055728,6.619269793,6.619924317,9.625E-09,5.163767345,5.164184632
8.183413429,-8.601481271,-8.601017652,9.75E-09,-4.522603379,-4.522295076
8.31377113,-15.66447655,-15.66451447,9.875E-09,-1.30E+01,-13.01095788
8.444128831,-17.42052561,-17.42089811,0.00000001,-13.49260452,-13.49281159
8.574486532,-11.32073249,-11.32110872,1.0125E-08,0.798416496,0.798275623
8.704844233,19.0173586,19.01744936,1.025E-08,2.61E+01,26.08508457
8.835201934,63.49058684,63.49127785,1.0375E-08,40.61051783,40.61097225
8.965559634,62.20367705,62.20449515,1.05E-08,19.26831953,19.2688533
9.095917335,-24.95394778,-24.95357125,1.0625E-08,-3.62E+01,-36.20535441
9.226275036,-134.6147852,-134.615204,1.075E-08,-83.24678059,-83.24708739
9.356632737,-141.5396134,-141.5406035,1.0875E-08,-68.53714746,-68.5378241
9.486990438,-2.459509735,-2.460444236,0.000000011,1.49E+01,14.89307988
9.617348139,171.3267761,171.3267633,1.1125E-08,106.2244186,106.2245964
9.74770584,214.9083469,214.9096369,1.125E-08,126.8691952,126.8702253
9.878063541,82.41161436,82.41368728,1.1375E-08,5.91E+01,59.10384935
10,-96.70361532,-96.70193824,1.15E-08,-10.03615458,-10.03427235
10.00446834,-102.4839235,-102.482232,1.1625E-08,-102.4019934,-102.4003094
10.00893667,-108.1003715,-108.0986805,1.175E-08,-1.11E+02,-110.7373545
10.01787335,-118.9940744,-118.9924771,1.1875E-08,-123.4174159,-123.4158995
10.03579447,-138.7344603,-138.7331185,0.000000012,-144.200064,-144.198854
10.07185222,-169.4060536,-169.4052308,1.2125E-08,-1.66E+02,-166.2802223
10.14440137,-193.8269515,-193.8273261,1.225E-08,-160.8370312,-160.8376015
10.25720366,-152.2680089,-152.2699721,1.2375E-08,-129.1351988,-129.1367436
10.37000595,-64.44344601,-64.44616099,1.25E-08,-6.74E+01,-67.43670221
10.48280823,17.39866268,17.39656771,1.2625E-08,10.91127743,10.90982827
10.59561052,86.26600087,86.26581753,1.275E-08,82.19412989,82.19414338
10.70841281,146.9895971,146.9917191,1.2875E-08,1.28E+02,127.9541892
10.8212151,169.6390392,169.6425609,0.000000013,132.5777198,132.5804274
