Time [ns],V(FET_in) [mV]
270816.9457242387,1.0
271940.66749072925,1.0
273064.38925721985,1.0
274188.11102371046,1.0
275311.8327902011,1.0
276435.5545566917,1.0
277559.27632318233,1.0
278682.99808967294,1.0
279806.71985616355,1.0
280930.4416226542,1.0
282054.1633891448,1.0
283177.8851556354,1.0
284301.606922126,1.0
285425.3286886167,1.0
286549.0504551073,1.0
287672.7722215979,1.0
288796.4939880885,1.0
289920.2157545791,1.0
291043.9375210698,1.0
292167.6592875604,1.0
293291.381054051,1.0
294415.1028205416,1.0
295538.82458703226,1.0
296662.54635352286,1.0
297786.26812001347,1.0
298909.9898865041,1.0
300033.7116529947,1.0
301157.43341948534,1.0
302281.15518597595,1.0
303404.87695246655,1.0
304528.59871895716,1.0
305652.32048544777,1.0
306776.04225193843,1.0
307899.76401842904,1.0
309023.48578491964,1.0
310147.20755141025,1.0
311270.9293179009,1.0
312394.6510843915,1.0
313518.3728508821,1.0
314642.0946173727,1.0
315765.81638386333,1.0
316889.538150354,1.0
318013.2599168446,1.0
319136.9816833352,1.0
320260.7034498258,1.0
321384.4252163164,1.0
322508.146982807,1.0
323631.86874929763,1.0
324755.59051578824,1.0
325879.31228227884,1.0
327003.0340487695,1.0
328126.7558152601,1.0
329250.4775817507,1.0
330374.1993482413,1.0
331497.92111473193,1.0
332621.6428812226,1.0
333745.3646477132,1.0
334869.0864142038,1.0
335992.8081806944,1.0
337116.529947185,1.0
338240.2517136757,1.0
339363.9734801663,1.0
340487.6952466569,1.0
341611.4170131475,1.0
342735.13877963816,1.0
343858.86054612877,1.0
344982.5823126194,1.0
346106.30407911,1.0
347230.0258456006,1.0
348353.74761209125,1.0
349477.46937858185,1.0
350601.19114507246,1.0
351724.91291156306,1.0
352848.63467805367,1.0
353972.35644454433,1.0
355096.07821103494,1.0
356219.79997752554,1.0
357343.52174401615,1.0
358467.2435105068,1.0
359590.9652769974,1.0
360714.687043488,1.0
361838.40880997863,1.0
362962.13057646924,1.0
364085.8523429599,1.0
365209.5741094505,1.0
366333.2958759411,1.0
367457.0176424317,1.0
368580.7394089223,1.0
369704.461175413,1.0
370828.18294190353,1.0
371951.90470839414,1.0
373075.62647488475,1.0
374199.3482413754,1.0
375323.070007866,1.0
376446.7917743566,1.0
377570.5135408472,1.0
378694.23530733783,1.0
379817.9570738285,1.0
380941.6788403191,1.0
382065.4006068097,1.0
383189.1223733003,1.0
384312.8441397909,1.0
385436.5659062816,1.0
386560.2876727722,1.0
387684.0094392628,1.0
388807.7312057534,1.0
389931.45297224406,1.0
391055.17473873467,1.0
392178.8965052253,1.0
393302.6182717159,1.0
394426.3400382065,1.0
395550.06180469715,1.0
396673.78357118776,1.0
397797.50533767836,1.0
398921.22710416897,1.0
400044.9488706596,1.0
401168.67063715024,1.0
402292.39240364084,1.0
403416.11417013145,1.0
404539.83593662205,1.0
405663.5577031127,1.0
406787.2794696033,1.0
407911.0012360939,1.0
409034.72300258453,1.0
410158.44476907514,1.0
411282.1665355658,1.0
412405.8883020564,1.0
413529.610068547,1.0
414653.3318350376,1.0
415777.0536015282,1.0
416900.7753680189,1.0
418024.4971345095,1.0
419148.2189010001,1.0
420271.9406674907,1.0
421395.6624339813,1.0
422519.3842004719,1.0
423643.1059669625,1.0
424766.82773345313,1.0
425890.54949994374,1.0
427014.2712664344,1.0
428137.993032925,1.0
429261.7147994156,1.0
430385.4365659062,1.0
431509.1583323968,1.0
432632.8800988875,1.0
433756.6018653781,1.0
434880.3236318687,1.0
436004.0453983593,1.0
437127.76716484997,1.0
438251.4889313406,1.0
439375.2106978312,1.0
440498.9324643218,1.0
441622.6542308124,1.0
442746.37599730305,1.0
443870.09776379366,1.0
444993.81953028427,1.0
446117.54129677487,1.0
447241.26306326553,1.0
448364.98482975614,1.0
449488.70659624675,1.0
450612.42836273735,1.0
451736.15012922796,1.0
452859.8718957186,1.0
453983.5936622092,1.0
455107.31542869983,1.0
456231.03719519044,1.0
457354.75896168104,1.0
458478.4807281717,1.0
459602.2024946623,1.0
460725.9242611529,1.0
461849.6460276435,1.0
462973.3677941342,1.0
464097.0895606248,1.0
465220.8113271154,1.0
466344.533093606,1.0
467468.2548600966,1.0
468591.9766265872,1.0
469715.6983930778,1.0
470839.4201595684,1.0
471963.14192605903,1.0
473086.86369254964,1.0
474210.5854590403,1.0
475334.3072255309,1.0
476458.0289920215,1.0
477581.7507585121,1.0
478705.4725250028,1.0
479829.1942914934,1.0
480952.916057984,1.0
482076.6378244746,1.0
483200.3595909652,1.0
484324.08135745587,1.0
485447.8031239465,1.0
486571.5248904371,1.0
487695.2466569277,1.0
488818.9684234183,1.0
489942.69018990896,1.0
491066.4119563995,1.0
492190.13372289017,1.0
493313.85548938083,1.0
494437.5772558714,1.0
495561.29902236204,1.0
496685.0207888526,1.0
497808.74255534325,1.0
498932.4643218339,1.0
500056.18608832447,1.0
501179.90785481513,1.0
502303.6296213058,1.0
503427.35138779634,1.0
504551.073154287,1.0
505674.79492077755,1.0
506798.5166872682,1.0
507922.2384537589,1.0
509045.9602202494,1.0
510169.6819867401,1.0
511293.40375323064,1.0
512417.1255197213,1.0
513540.84728621197,1.0
514664.5690527025,1.0
515788.2908191932,1.0
516912.0125856837,1.0
518035.7343521744,1.0
519159.456118665,1.0
520283.1778851556,1.0
521406.8996516462,1.0
522530.62141813675,1.0
523654.3431846274,1.0
524778.0649511181,1.0
525901.7867176087,1.0
527025.5084840993,1.0
528149.2302505899,1.0
529272.9520170805,1.0
530396.6737835712,1.0
531520.3955500617,1.0
532644.1173165524,1.0
533767.839083043,1.0
534891.5608495336,1.0
536015.2826160243,1.0
537139.0043825149,1.0
538262.7261490055,1.0
539386.4479154962,1.0
540510.1696819867,1.0
541633.8914484774,1.0
542757.6132149679,1.0
543881.3349814585,1.0
545005.0567479492,1.0
546128.7785144397,1.0
547252.5002809304,1.0
548376.2220474209,1.0
549499.9438139116,1.0
550623.6655804022,1.0
551747.3873468929,1.0
552871.1091133835,1.0
553994.8308798741,1.0
555118.5526463647,1.0
556242.2744128554,1.0
557365.9961793459,1.0
558489.7179458366,1.0
559613.4397123271,1.0
560737.1614788178,1.0
561860.8832453084,1.0
562984.605011799,1.0
564108.3267782896,1.0
565232.0485447804,1.0
566355.7703112708,1.0
567479.4920777616,1.0
568603.213844252,1.0
569726.9356107428,1.0
570850.6573772334,1.0
571974.379143724,1.0
573098.1009102146,1.0
574221.8226767052,1.0
575345.5444431958,1.0
576469.2662096865,1.0
577592.987976177,1.0
578716.7097426677,1.0
579840.4315091582,1.0
580964.153275649,1.0
582087.8750421396,1.0
583211.5968086302,1.0
584335.3185751208,1.0
585459.0403416114,1.0
586582.762108102,1.0
587706.4838745927,1.0
588830.2056410832,1.0
589953.9274075739,1.0
591077.6491740645,1.0
592201.3709405551,1.0
593325.0927070457,1.0
594448.8144735363,1.0
595572.5362400269,1.0
596696.2580065175,1.0
597819.9797730081,1.0
598943.7015394988,1.0
600067.4233059894,1.0
601191.14507248,1.0
602314.8668389707,1.0
603438.5886054612,1.0
604562.3103719519,1.0
605686.0321384424,1.0
606809.7539049331,1.0
607933.4756714237,1.0
609057.1974379143,1.0
610180.9192044049,1.0
611304.6409708955,1.0
612428.3627373861,1.0
613552.0845038769,1.0
614675.8062703673,1.0
615799.5280368581,1.0
616923.2498033486,1.0
618046.9715698393,1.0
619170.6933363299,1.0
620294.4151028205,1.0
621418.1368693111,1.0
622541.8586358018,1.0
623665.5804022923,1.0
624789.302168783,1.0
625913.0239352735,1.0
627036.7457017642,1.0
628160.4674682549,1.0
629284.1892347455,1.0
630407.9110012361,1.0
631531.6327677267,1.0
632655.3545342173,1.0
633779.076300708,1.0
634902.7980671985,1.0
636026.5198336892,1.0
637150.2416001797,1.0
638273.9633666704,1.0
639397.685133161,1.0
640521.4068996516,1.0
641645.1286661422,1.0
642768.8504326328,1.0
643892.5721991234,1.0
645016.293965614,1.0
646140.0157321047,1.0
647263.7374985953,1.0
648387.4592650859,1.0
649511.1810315765,1.0
650634.9027980672,1.0
651758.6245645577,1.0
652882.3463310484,1.0
654006.068097539,1.0
655129.7898640296,1.0
656253.5116305202,1.0
657377.2333970108,1.0
658500.9551635014,1.0
659624.6769299922,1.0
660748.3986964826,1.0
661872.1204629734,1.0
662995.8422294639,1.0
664119.5639959546,1.0
665243.2857624452,1.0
666367.0075289358,1.0
667490.7292954264,1.0
668614.451061917,1.0
669738.1728284076,1.0
670861.8945948983,1.0
671985.6163613888,1.0
673109.3381278795,1.0
674233.05989437,1.0
675356.7816608608,1.0
676480.5034273514,1.0
677604.225193842,1.0
678727.9469603326,1.0
679851.6687268232,1.0
680975.3904933138,1.0
682099.1122598045,1.0
683222.834026295,1.0
684346.5557927857,1.0
685470.2775592763,1.0
686593.9993257669,1.0
687717.7210922575,1.0
688841.4428587481,1.0
689965.1646252387,1.0
691088.8863917293,1.0
692212.60815822,1.0
693336.3299247106,1.0
694460.0516912012,1.0
695583.7734576918,1.0
696707.4952241825,1.0
697831.216990673,1.0
698954.9387571637,1.0
700078.6605236542,1.0
701202.3822901449,1.0
702326.1040566355,1.0
703449.8258231261,1.0
704573.5475896167,1.0
705697.2693561073,1.0
706820.991122598,1.0
707944.7128890887,1.0
709068.4346555792,1.0
710192.1564220699,1.0
711315.8781885604,1.0
712439.5999550511,1.0
713563.3217215417,1.0
714687.0434880323,1.0
715810.7652545229,1.0
716934.4870210136,1.0
718058.2087875041,1.0
719181.9305539948,1.0
720305.6523204853,1.0
721429.374086976,1.0
722553.0958534667,1.0
723676.8176199573,1.0
724800.5393864479,1.0
725924.2611529385,1.0
727047.9829194291,1.0
728171.7046859198,1.0
729295.4264524103,1.0
730419.148218901,1.0
731542.8699853915,1.0
732666.5917518822,1.0
733790.3135183728,1.0
734914.0352848634,1.0
736037.757051354,1.0
737161.4788178446,1.0
738285.2005843353,1.0
739408.922350826,1.0
740532.6441173165,1.0
741656.3658838071,1.0
742780.0876502978,1.0
743903.8094167883,1.0
745027.531183279,1.0
746151.2529497695,1.0
747274.9747162602,1.0
748398.6964827508,1.0
749522.4182492414,1.0
750646.140015732,1.0
751769.8617822226,1.0
752893.5835487132,1.0
754017.305315204,1.0
755141.0270816945,1.0
756264.7488481852,1.0
757388.4706146757,1.0
758512.1923811664,1.0
759635.914147657,1.0
760759.6359141476,1.0
761883.3576806382,1.0
763007.0794471288,1.0
764130.8012136194,1.0
765254.5229801101,1.0
766378.2447466006,1.0
767501.9665130913,1.0
768625.6882795818,1.0
769749.4100460726,1.0
770873.1318125632,1.0
771996.8535790538,1.0
773120.5753455444,1.0
774244.2971120351,1.0
775368.0188785256,1.0
776491.7406450163,1.0
777615.4624115068,1.0
778739.1841779975,1.0
779862.9059444881,1.0
780986.6277109787,1.0
782110.3494774693,1.0
783234.07124396,1.0
784357.7930104506,1.0
785481.5147769413,1.0
786605.2365434318,1.0
787728.9583099225,1.0
788852.680076413,1.0
789976.4018429037,1.0
791100.1236093943,1.0
792223.8453758849,1.0
793347.5671423755,1.0
794471.288908866,1.0
795595.0106753567,1.0
796718.7324418473,1.0
797842.4542083379,1.0
798966.1759748285,1.0
800089.8977413191,1.0
801213.6195078098,1.0
802337.3412743005,1.0
803461.063040791,1.0
804584.7848072817,1.0
805708.5065737723,1.0
806832.2283402629,1.0
807955.9501067535,1.0
809079.6718732441,1.0
810203.3936397347,1.0
811327.1154062254,1.0
812450.8371727159,1.0
813574.5589392066,1.0
814698.2807056971,1.0
815822.0024721879,1.0
816945.7242386785,1.0
818069.4460051691,1.0
819193.1677716597,1.0
820316.8895381503,1.0
821440.6113046409,1.0
822564.3330711316,1.0
823688.0548376221,1.0
824811.7766041128,1.0
825935.4983706033,1.0
827059.220137094,1.0
828182.9419035846,1.0
829306.6636700752,1.0
830430.3854365658,1.0
831554.1072030565,1.0
832677.8289695471,1.0
833801.5507360378,1.0
834925.2725025283,1.0
836048.994269019,1.0
837172.7160355096,1.0
838296.4378020002,1.0
839420.1595684908,1.0
840543.8813349814,1.0
841667.603101472,1.0
842791.3248679626,1.0
843915.0466344532,1.0
845038.7684009438,1.0
846162.4901674344,1.0
847286.211933925,1.0
848409.9337004158,1.0
849533.6554669063,1.0
850657.377233397,1.0
851781.0989998875,1.0
852904.8207663782,1.0
854028.5425328688,1.0
855152.2642993594,1.0
856275.98606585,1.0
857399.7078323406,1.0
858523.4295988312,1.0
859647.151365322,1.0
860770.8731318124,1.0
861894.5948983032,1.0
863018.3166647936,1.0
864142.0384312844,1.0
865265.760197775,1.0
866389.4819642656,1.0
867513.2037307562,1.0
868636.9254972469,1.0
869760.6472637374,1.0
870884.3690302281,1.0
872008.0907967186,1.0
873131.8125632093,1.0
874255.5343296999,1.0
875379.2560961905,1.0
876502.9778626811,1.0
877626.6996291718,1.0
878750.4213956624,1.0
879874.1431621531,1.0
880997.8649286436,1.0
882121.5866951343,1.0
883245.3084616248,1.0
884369.0302281155,1.0
885492.7519946061,1.0
886616.4737610967,1.0
887740.1955275873,1.0
888863.9172940779,1.0
889987.6390605685,1.0
891111.3608270591,1.0
892235.0825935497,1.0
893358.8043600403,1.0
894482.5261265311,1.0
895606.2478930216,1.0
896729.9696595123,1.0
897853.6914260028,1.0
898977.4131924935,1.0
900101.1349589841,1.0
901224.8567254747,1.0
902348.5784919653,1.0
903472.3002584559,1.0
904596.0220249465,1.0
905719.7437914372,1.0
906843.4655579277,1.0
907967.1873244185,1.0
909090.909090909,1.0
910214.6308573997,1.0
911338.3526238903,1.0
912462.0743903809,1.0
913585.7961568715,1.0
914709.5179233621,1.0
915833.2396898527,1.0
916956.9614563434,1.0
918080.6832228339,1.0
919204.4049893246,1.0
920328.1267558151,1.0
921451.8485223058,1.0
922575.5702887964,1.0
923699.292055287,1.0
924823.0138217777,1.0
925946.7355882684,1.0
927070.4573547589,1.0
928194.1791212496,1.0
929317.9008877401,1.0
930441.6226542308,1.0
931565.3444207214,1.0
932689.066187212,1.0
933812.7879537026,1.0
934936.5097201932,1.0
936060.2314866838,1.0
937183.9532531744,1.0
938307.675019665,1.0
939431.3967861556,1.0
940555.1185526463,1.0
941678.8403191369,1.0
942802.5620856276,1.0
943926.2838521181,1.0
945050.0056186088,1.0
946173.7273850993,1.0
947297.44915159,1.0
948421.1709180806,1.0
949544.8926845712,1.0
950668.6144510618,1.0
951792.3362175524,1.0
952916.057984043,1.0
954039.7797505338,1.0
955163.5015170242,1.0
956287.223283515,1.0
957410.9450500056,1.0
958534.6668164962,1.0
959658.3885829868,1.0
960782.1103494774,1.0
961905.832115968,1.0
963029.5538824587,1.0
964153.2756489492,1.0
965276.9974154399,1.0
966400.7191819304,1.0
967524.4409484211,1.0
968648.1627149117,1.0
969771.8844814023,1.0
970895.606247893,1.0
972019.3280143836,1.0
973143.0497808742,1.0
974266.7715473649,1.0
975390.4933138554,1.0
976514.2150803461,1.0
977637.9368468366,1.0
978761.6586133274,1.0
979885.3803798179,1.0
981009.1021463085,1.0
982132.823912799,1.0
983256.5456792898,1.0
984380.2674457803,1.0
985503.989212271,1.0
986627.7109787617,1.0
987751.4327452523,1.0
988875.1545117428,1.0
989998.8762782335,1.0
991122.5980447241,1.0
992246.3198112146,1.0
993370.0415777052,1.0
994493.7633441959,1.0
995617.4851106865,1.0
996741.206877177,1.0
997864.9286436678,1.0
998988.6504101583,1.0
1000112.3721766489,1.0
1001236.0939431397,1.0
1002359.8157096303,1.0
1003483.5374761207,1.0
1004607.2592426116,1.0
1005730.9810091021,1.0
1006854.7027755927,1.0
1007978.4245420832,1.0
1009102.146308574,1.0
1010225.8680750645,1.0
1011349.5898415551,1.0
1012473.3116080458,1.0
1013597.0333745364,1.0
1014720.7551410269,1.0
1015844.4769075178,1.0
1016968.1986740083,1.0
1018091.9204404989,1.0
1019215.6422069893,1.0
1020339.3639734802,1.0
1021463.0857399707,1.0
1022586.8075064613,1.0
1023710.529272952,1.0
1024834.2510394426,1.0
1025957.9728059331,1.0
1027081.6945724239,1.0
1028205.4163389144,1.0
1029329.138105405,1.0
1030452.8598718958,1.0
1031576.5816383864,1.0
1032700.3034048768,1.0
1033824.0251713675,1.0
1034947.7469378582,1.0
1036071.4687043488,1.0
1037195.1904708393,1.0
1038318.91223733,1.0
1039442.6340038206,1.0
